ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description,Instruction Mode
10004,AAS,102,020C,Lecture,"4","Kenrick Grandison, ","TuTh 12:30PM - 1:45PM","Ruffner Hall G004A","01/16/2008 - 04/29/2008","","","","","","","","","","","","","Crosscurrents African Diaspora","",Closed,104,118,0,"","In Person"
10005,AAS,307,00MH,Lecture,"3","Roquinaldo Ferreira","TuTh 12:30PM - 1:45PM","New Cabell Hall 311","01/16/2008 - 04/29/2008","","","","","","","","","","","","","Afro-Brazilian History","",Closed,15,15,0,"","In Person"
10006,AAS,351,051E,Lecture,"3","Jalane Schmidt","TuTh 9:30AM - 10:45AM","Halsey Hall 123","01/16/2008 - 04/29/2008","","","","","","","","","","","","","A-A Social & Pol Thought","",Closed,4,5,0,"","In Person"
10007,AAS,401,01SZ,Independent Study,"1 - 12","Staff","TBA","TBA","01/16/2008 - 04/29/2008","","","","","","","","","","","","","Independent Study","",Closed,4,10,0,"","In Person"
10008,AAS,402,051F,Independent Study,"3","Roquinaldo Ferreira","Th 3:30PM - 6:00PM","New Cabell Hall 236","01/16/2008 - 04/29/2008","","","","","","","","","","","","","Independent Study","",Closed,3,6,0,"","In Person"
10009,AAS,403Z,604J,Lecture,"3","Maurice Cox, ","MoTuWeThFr 8:30AM - 7:30PM","TBA","01/02/2008 - 01/13/2008","","","","","","","","","","","","","Community as a Classroom","",Closed,6,15,0,"","In Person"
10010,AAS,406A,00NQ,Lecture,"3","Edwina Ashie-Nikoi","Mo 3:30PM - 6:00PM","Bryan Hall 310","01/16/2008 - 04/29/2008","","","","","","","","","","","","","Mapping Race Place & Diaspora","",Closed,9,12,0,"","In Person"
10011,AAS,406B,00NR,Lecture,"3","Kenrick Grandison","Tu 6:30PM - 9:00PM","Bryan Hall 332","01/16/2008 - 04/29/2008","","","","","","","","","","","","","Lynching/Anti-Lynching","",Closed,8,12,0,"","In Person"
10012,AAS,406C,01B7,Lecture,"3","Julian Hayter","Tu 3:30PM - 6:00PM","New Cabell Hall 432","01/16/2008 - 04/29/2008","","","","","","","","","","","","","Af-Am Protest 20th C","",Closed,15,12,0,"","In Person"
10013,AAS,406D,01B3,Lecture,"3","Todd Cleveland","Th 3:30PM - 6:00PM","New Cabell Hall 234","01/16/2008 - 04/29/2008","","","","","","","","","","","","","Marx Politics & Theology","",Closed,14,12,0,"","In Person"
10014,AAS,451,01GK,Independent Study,"3","Staff","TBA","TBA","01/16/2008 - 04/29/2008","","","","","","","","","","","","","Directed Research/Dmp","",Closed,0,10,0,"","In Person"
10015,AAS,452,01HG,Independent Study,"3","Staff","TBA","TBA","01/16/2008 - 04/29/2008","","","","","","","","","","","","","Thesis/Dmp","",Closed,2,10,0,"","In Person"
10016,AAS,528,051G,Lecture,"3","Wende Marshall","We 7:00PM - 9:30PM","Cauthen House 116","01/16/2008 - 04/29/2008","","","","","","","","","","","","","Sci & Med:Tops Race Theory","",Closed,3,5,0,"","In Person"
10017,ACCT,201,6701,Lecture,"3","Marshall Kasten","Tu 7:00PM - 10:00PM","TBA","01/29/2008 - 05/06/2008","","","","","","","","","","","","","Introductory Accounting I","",Closed,30,35,0,"","In Person"
